m/z;I
698.31025;225747
836.43788;395155
840.90444;109948
898.47498;1425044
908.49545;322018
927.46502;243573
996.47489;396451
997.47024;141433
1010.50189;703910
1032.54785;581550
1051.53599;217481
1064.51235;445812
1070.52296;254103
1071.48986;285406
1079.52363;517027
1104.55466;335056
1105.57558;2645486
1106.55955;879097
1107.51828;289420
1121.58175;2186160
1126.54962;323255
1128.51117;262937
1138.56027;675088
1150.54888;330249
1154.58081;752246
1162.62208;614296
1163.59226;947418
1165.52393;475146
1166.5446;313481
1167.57623;2342081
1175.5445;231216
1176.61277;1002929
1177.59634;300592
1180.6436;327831
1183.57113;2136329
1193.51852;310034
1193.62801;584816
1196.63908;527083
1197.58741;216896
1197.62282;340372
1202.66443;250348
1208.59085;224765
1241.55855;1806465
1241.66061;580901
1251.65197;327808
1254.5353;262755
1259.68588;358690
1261.62969;242255
1266.64444;361937
1273.69058;311453
1282.63978;287499
1308.67394;831275
1323.66545;827414
1343.67143;406012
1349.64524;354694
1353.67742;620437
1362.71324;594248
1369.67244;201072
1370.6009;436477
1379.71051;462815
1386.77452;182671
1399.70158;154949
1400.65789;164767
1416.68702;390274
1417.7301;383409
1432.68244;482891
1443.79539;314373
1447.75493;215358
1453.74422;17992342
1469.73899;698512
1473.67348;1089964
1475.72625;509233
1485.72048;318220
1511.74584;636564
1519.65767;125786
1537.70312;239430
1540.67041;345006
1550.7567;1091768
1561.79897;3905976
1562.78278;4171819
1586.75675;2545090
1589.77833;430571
1604.70104;216518
1604.81511;271526
1616.80452;729255
1624.82964;151268
1637.72382;1029789
1648.79328;401831
1655.8002;586273
1660.76872;554556
1668.90736;274447
1678.74979;518931
1681.85035;223314
1685.87277;209451
1694.74556;627293
1702.90042;836812
1706.77371;1288521
1707.75681;333642
1710.8699;153298
1726.86614;1566697
1735.79971;292206
1743.72359;493805
1762.87253;453402
1766.77819;246072
1774.79973;234667
1783.80289;2438514
1795.91068;449604
1803.9104;5237995
1804.89463;10211514
1816.86577;3263566
1817.92699;286988
1832.86102;3432706
1838.97587;689299
1842.84971;232368
1870.81521;297038
1874.82674;248831
1887.95846;247275
1888.91905;531627
1892.92132;1395293
1917.95451;285908
1919.95957;796463
1935.95056;215503
1944.95341;2198419
1946.90567;145534
1958.87464;245652
1961.98069;16977470
1971.9638;528622
1983.96268;380349
1986.04237;558428
1996.96047;1443301
1999.93521;443742
2002.0363;549321
2003.86959;241723
2013.98549;10026674
2015.94265;312470
2022.98493;239576
2026.89472;157096
2028.06458;10108185
2040.93787;739617
2044.05764;10415438
2056.9794;6550722
2082.0142;222216
2115.97119;256968
2120.99926;302825
2131.11648;6189828
2146.94205;287056
2153.09413;248950
2165.0498;179333
2169.07321;420200
2188.02879;3524944
2207.14483;504696
2224.10276;385863
2225.98731;342183
2236.0666;267248
2252.00219;252467
2258.00497;260051
2264.05687;185522
2281.12191;304384
2282.07097;2323503
2298.06734;907782
2332.11789;257415
2335.20357;382664
2348.09281;595958
2364.08157;627997
2389.1556;401949
2403.15325;572637
2410.13591;1395151
2419.14918;685806
2422.07366;323158
2455.22419;1985915
2460.1789;466439
2467.19893;583911
2471.21678;697239
2483.18938;1411444
2499.18387;960701
2502.25667;671349
2533.20591;713746
2534.15351;460952
2566.22623;2804670
2576.22676;1069576
2592.22192;414551
2644.26535;295267
2662.17896;208037
2673.2643;1541774
2689.26003;8314027
2705.2535;19926012
2719.23;1752315
2721.29648;304592
2727.23311;871511
2737.2955;409305
2737.37871;562750
2741.20315;330207
2743.21606;1416588
2752.27997;1222213
2767.32016;11807134
2780.38729;1489780
2785.30159;6034274
2801.28994;1559743
2820.35452;6580072
2839.39281;303939
2867.42724;933373
2883.42446;9744115
2899.42325;997156
2905.41176;338674
2921.38666;738214
2987.39186;5818701
2988.37025;4396233
2990.47023;217742
3009.40158;643005
3017.49295;470474
3033.48831;7697163
3036.40821;651449
3052.40244;946996
3068.4211;955854
3084.41459;10877408
3100.41282;17256194
3107.40146;324498
3116.41073;2995089
3122.37338;943550
3122.39774;883639
3138.37215;1380275
3226.51826;362894
3408.72711;1666224
3563.43347;681616
3681.56413;1122409
3752.60316;1072104
3882.78115;259382
4020.89763;1293631
4047.92595;248229
4048.0207;251298
4079.9391;876511
4096.93822;4925841
4112.93549;4070883
4127.9228;359415
4139.07245;905809
4149.89419;396766
4229.06777;867432
4274.02184;345667
4290.01441;1299323
4375.10898;1148860
4391.10139;4234874
4430.05705;297614
4493.13077;2116543
4509.12664;1040105
